APK_ID,Package_Name,SHA256_Hash,File_Size_MB,Install_Date,Permissions_Count,Is_Suspicious,IMEI
APK_000000,com.whatsapp,48a8009294e6ceb1d90a940645430eaa348081bf7d7d20bccbc7a342b881ce8d,111.97624351994097,2026-06-24,7,False,IMEI_V3
APK_000001,com.twitter,45077586e6e4c474b72c0a1f6601168c047ec114c78d3280f7873ef20c3cff0c,16.09746371635682,2026-04-21,33,False,IMEI_V2
APK_000002,com.uber,16040b588441458fbda57b3ffa5815222dce7c43692764a52020b17acd62c193,124.55939718844184,2026-02-26,23,False,IMEI_V2
APK_000003,com.whatsapp,1892d6bb95493b12429ba9d5e7f952c85dded26a030c3b49c3587babca2cc6f8,64.73288607157285,2026-07-02,37,False,IMEI_V1
APK_000004,com.twitter,db46852fe0a882a4325b71b04aaa4aa55c85771cdff15883221161d9d49707e8,85.63628830956726,2026-05-20,34,False,IMEI_V3
APK_000005,com.whatsapp,6174b422849c74baa5f04244063d9e19c8a68636cbf13837115b613bb748f39c,36.91799357195232,2026-05-12,17,False,IMEI_V2
APK_000006,com.spyware.rat,bd54589dd39b522b7af2e2ce731c3626f05ff7cb685ac4d674432c9946528348,138.75208389876016,2026-05-17,20,True,IMEI_3
APK_000007,com.twitter,a633a98ad4ff3714b5ed20de4b5a7e36f8bcccebf0afd6069699d79db85ffcc1,122.08243943441862,2025-12-03,34,False,IMEI_V2
APK_000008,com.uber,e1789fcad1509e45981a4448c35e680121d61d9bb40a36a98a3af6f5300e474d,42.84350516965265,2025-10-24,45,False,IMEI_V1
APK_000009,com.twitter,19ca8cb7a48a913b87f4a69331b0b0e8f6e0c418f4390ec628632fbdd2ed6394,196.15680080289061,2026-07-14,5,False,IMEI_V1
APK_000010,com.twitter,0d66a99b46fd841a759f6c2b0ce679ed70ccbae81d8ad9b3a559c61c1daf4ba4,80.66526369817046,2026-02-14,47,False,IMEI_V3
APK_000011,com.instagram,9fe21dd7d53ccd8f534969e7221831b26d1b91ea454fb6aee5f9640ee44b567f,152.9237070756827,2025-12-09,21,False,IMEI_V2
APK_000012,com.whatsapp,79a5abc02315677d99f17aa733c8106dd16f64d3d12f8dbcdeea76de27ae8a53,198.45847037267376,2026-06-26,39,False,IMEI_V4
APK_000013,com.instagram,941573a7b70896c3658848f670c290ae2f2807e3e81818b58cd8042eb69b81a3,10.622015213661944,2026-02-17,25,False,IMEI_V4
APK_000014,org.malware.trojan,71a23a6318885cd06953ca240ff04cbae23f27bc2bec1acae3d928926335ea78,25.541044131587483,2025-11-18,39,True,IMEI_5
APK_000015,com.spyware.rat,02112d2207f023aec6888a36cba1821c01dd7ecb8b8b0fa0e19b0d3c06d80b68,102.9467823874132,2026-05-21,5,True,IMEI_3
APK_000016,com.instagram,a86fd0e9ecf2dda90b007e54293c6d5d1a2dfbd509737aeb1c33b71f9f6bd647,70.57920302904347,2026-01-15,8,False,IMEI_V1
APK_000017,com.twitter,8732832e309dca99bd270af6a6e2aac943ae6b650da782caaac9858e524ccdf7,182.16840647192925,2025-12-30,45,False,IMEI_V3
APK_000018,org.malware.trojan,72d58585ef838246743f0405472eaa4265daa78da651423564e85d73d2b987d0,198.5064045165976,2026-07-26,33,True,IMEI_4
APK_000019,com.spyware.rat,c7f1279ca3e3113fd00f3b57e00b16b4964219200ccccd1a2a6e47526b96ca4a,133.1093385106868,2026-04-29,47,True,IMEI_2
